,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
50,Samsung Galaxy A06 5G,Samsung,4,128 ,5000,6.7,50MP + 50MP,2MP + 2MP Dual,4.2,Very Good,338,47,385,34,10076,10K-15K
51,POCO M6 Plus 5G,POCO,6,128 ,5030,6.79,108MP + 2MP,13MP,4.2,Very Good,51965,3198,55163,36,10080,10K-15K
52,POCO M6 Plus 5G,POCO,6,128 ,5030,6.79,108MP + 2MP,13MP,4.2,Very Good,51965,3198,55163,36,10080,10K-15K
53,POCO M6 Plus 5G,POCO,6,128 ,5030,6.79,108MP + 2MP,13MP,4.2,Very Good,51965,3198,55163,36,10080,10K-15K
54,POCO M6 Plus 5G,POCO,6,128 ,5030,6.79,108MP + 2MP,13MP,4.2,Very Good,51965,3198,55163,36,10080,10K-15K
55,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,27,10187,10K-15K
56,Tecno Spark 30C 5G,Tecno,4,128 ,5000,6.67,48MP Rear Camera,8MP,4.2,Very Good,717,35,752,19,10499,10K-15K
57,vivo Y19 5G,vivo,4,64 ,5500,6.74,13MP + 0.08MP,5MP,4.3,Very Good,725,34,759,25,10499,10K-15K
58,POCO M6 5G,POCO,4,128 ,5000,6.74,50MP Rear Camera,5MP,4.2,Very Good,149791,7434,157225,19,10499,10K-15K
59,POCO M7 5G,POCO,8,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3903,249,4152,25,10499,10K-15K
60,Tecno Spark 30C 5G,Tecno,4,128 ,5000,6.67,48MP Rear Camera,8MP,4.2,Very Good,717,35,752,19,10499,10K-15K
61,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,25,10499,10K-15K
